UPC,ePID,Title,Brand,Format,Genre,Release Year,Actors,Directors,Studio,Rating,Primary Image URL,Product Web URL,Fetched At
854206001299,229192471,"The Ultimate Hits by Garth Brooks (CD, 2016, 2 Discs, Pearl)",Pearl Records,CD,Country,,,,,,https://i.ebayimg.com/images/g/BtYAAOSwMoBf6c5H/s-l640.jpg,https://www.ebay.com/p/229192471,2026-03-14T00:26:48.798711
854206001299,17070908166,"Ultimate Hits by Garth Brooks (CD, 2016)",Pearl Records-Terms,CD,Country,2016,,,,,https://i.ebayimg.com/images/g/swgAAOSw1ulmyxMD/s-l1600.jpg,https://www.ebay.com/p/17070908166,2026-03-14T00:26:48.795455
089841807528,3362732,"The Good Life by Dennis Patton (CD, 1998, Unison)",Unison,CD,Rock,1998,,,,,https://i.ebayimg.com/12/!!eC++-g!2M~$(KGrHqIOKm8Ez36WsE)QBNSBBjKTIg~~_57.JPG?set_id=89040003C1,https://www.ebay.com/p/3362732,2026-03-14T00:16:40.096151
724359610528,46923810,"A Million in Prizes: The Anthology [PA] by Iggy Pop (CD, Jul-2005, 2 Discs, Virgin)",Virgin,CD,Rock,2005,,,,,https://i.ebayimg.com/images/g/2qYAAOSwhvFZE0n4/s-l640.jpg,https://www.ebay.com/p/46923810,2026-03-14T00:16:40.094966
724359610528,28070911257,"Million in Prizes: the Anthology by Iggy Pop (CD, 2005)",Vir,CD,Rock,2005,,,,,https://i.ebayimg.com/images/g/MoQAAOSw1b9myxB3/s-l1600.jpg,https://www.ebay.com/p/28070911257,2026-03-14T00:16:40.093872
077776431826,80305225,"It's a Breeze by André Previn/Itzhak Perlman (CD, 1992)",,CD,Jazz,1992,,,,,https://i.ebayimg.com/images/g/rRMAAOSwGUBZ-oyk/s-l640.jpg,https://www.ebay.com/p/80305225,2026-03-14T00:16:40.092840
888837083829,15046069780,"Kinky Boots by Kinky Boots / O.B.C. (CD, 2013)",Masterworks,CD,Cast Recordings,2013,,,,,https://i.ebayimg.com/00/s/NDk2WDUwMA==/z/b6YAAOSwFHlghuqD/$_57.JPG,https://www.ebay.com/p/15046069780,2026-03-14T00:16:40.091668
074646955024,16046043066,"Holiday Songs & Lullabies by Colvin, Shawn (CD, 1998)",Sny,CD,Rock,1998,,,,,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/h5gAAOSwj0NkpXaT/$_57.JPG,https://www.ebay.com/p/16046043066,2026-03-14T00:16:40.089956
077776431826,27070894179,"It's a Breeze; Previn, Perlman by It's a Breeze; Previn, Perlman (CD, 2007)",NXS,CD,Misc Product,2007,,,,,,https://www.ebay.com/p/27070894179,2026-03-14T00:16:40.086623
043396526372,3384801,"The Age of Innocence (DVD, 2001)",,DVD,Drama,2001,"Daniel Day-Lewis, Michelle Pfeiffer",Martin Scorsese,,G,https://i.ebayimg.com/images/g/9~EAAMXQTgZQ9fad/s-l640.jpg,https://www.ebay.com/p/3384801,2026-03-13T23:04:53.437610
826663165111,9046026810,"The Bible Stories: Esther (DVD, 1999)",,DVD,TV Mini-Series,1999,,Raffaele Mertes,Shout! Factory,NR,https://i.ebayimg.com/00/s/NTAwWDM1Mw==/z/WUcAAOSwenBghuQw/$_57.JPG,https://www.ebay.com/p/9046026810,2026-03-13T23:04:53.436925
043396526372,17071201750,"Age of Innocence (DVD, 1993)",,DVD,Drama,1993,,Martin Scorsese,Sony Pictures,PG,https://i.ebayimg.com/images/g/6fIAAOSwlvtm1vbr/s-l1600.jpg,https://www.ebay.com/p/17071201750,2026-03-13T23:04:53.436036
031398195511,12046025942,"Blood Ties (DVD, 2013)",,DVD,Drama,2013,,Guillaume Canet,LIONSGATE,R,https://i.ebayimg.com/00/s/NTAwWDM1Nw==/z/iHwAAOSw4AhghuPB/$_57.JPG,https://www.ebay.com/p/12046025942,2026-03-13T23:04:53.434921
043396424531,17046029867,"Cold Comes the Night (DVD, 2013)",,DVD,Action & Adventure,2013,,Tze Chun,Sony Pictures,R,https://i.ebayimg.com/00/s/NTAwWDM2OA==/z/X1EAAOSwooJghuSe/$_57.JPG,https://www.ebay.com/p/17046029867,2026-03-13T23:04:53.433721
043396424098,17046033927,"Absolute Deception (DVD, 2013)",,DVD,Action & Adventure,2013,,Brian Trenchard-Smith,Sony Pictures,R,https://i.ebayimg.com/00/s/NTAwWDM3MA==/z/A-sAAOSwX1VghuTK/$_57.JPG,https://www.ebay.com/p/17046033927,2026-03-13T23:04:53.432615
031398161530,18046035467,"Arbitrage (DVD, 2012)",,DVD,Mystery / Suspense,2012,,Nicholas Jarecki,LIONSGATE,R,https://i.ebayimg.com/00/s/NTAwWDQxMQ==/z/UE8AAOSwFopghuTF/$_57.JPG,https://www.ebay.com/p/18046035467,2026-03-13T23:04:53.431693
043396330221,19046037860,"Across the Universe (DVD, 2007)",,DVD,Drama,2007,,Julie Taymor,Sony Pictures,PG-13,https://i.ebayimg.com/00/s/NTAwWDM0OA==/z/2ucAAOSwyRVghuTh/$_57.JPG,https://www.ebay.com/p/19046037860,2026-03-13T23:04:53.430744
043396462991,25046022094,"Concussion (DVD, 2015)",,DVD,Drama,2015,,Peter Landesman,Sony Pictures,PG-13,https://i.ebayimg.com/00/s/NTAwWDM2OA==/z/de0AAOSw5KtghuO6/$_57.JPG,https://www.ebay.com/p/25046022094,2026-03-13T23:04:53.429786
043396465688,25046022467,"Risen (DVD, 2016)",,DVD,Drama,2016,,Kevin Reynolds,Sony Pictures,PG-13,https://i.ebayimg.com/00/s/NTAwWDM1MQ==/z/UzUAAOSwr0RghuPi/$_57.JPG,https://www.ebay.com/p/25046022467,2026-03-13T23:04:53.428058
